https://simple.wikipedia.org/wiki/List_of_U.S._states_by_population,https://simple.wikipedia.org/wiki/U.S._postal_abbreviations
Abbreviation,state,population2019
CA,California,39512223
TX,Texas,28995881
NY,New York,21477737
FL,Florida,19453561
IL,Illinois,12801989
PA,Pennsylvania,12671821
OH,Ohio,11689100
GA,Georgia,10617423
NC,North Carolina,10488084
MI,Michigan,9986857
NJ,New Jersey,8882190
VA,Virginia,8535519
WA,Washington,7614893
AZ,Arizona,7278717
MA,Massachusetts,6949503
TN,Tennessee,6833174
IN,Indiana,6732219
MO,Missouri,6137428
MD,Maryland,6045680
WI,Wisconsin,5822434
CO,Colorado,5758736
MN,Minnesota,5639632
SC,South Carolina,5148714
AL,Alabama,4903185
LA,Louisiana,4648794
KY,Kentucky,4467673
OR,Oregon,4217737
OK,Oklahoma,3956971
CT,Connecticut,3565287
UT,Utah,3205958
IA,Iowa,3155070
NV,Nevada,3080156
AR,Arkansas,3017825
MS,Mississippi,2976149
KS,Kansas,2913314
NM,New Mexico,2096829
NE,Nebraska,1934408
WV,West Virginia,1792147
ID,Idaho,1787065
HI,Hawaii,1415872
NH,New Hampshire,1359711
ME,Maine,1344212
MT,Montana,1068778
RI,Rhode Island,1059361
DE,Delaware,973764
SD,South Dakota,884659
ND,North Dakota,762062
AK,Alaska,731545
DC,the District of Columbia,705749
VT,Vermont,623989
WY,Wyoming,578759
